team,confederation,fifa_ranking,qualified,host_nation,previous_wc_appearances,best_wc_result,qualifier_matches_played,qualifier_wins,qualifier_draws,qualifier_losses,qualifier_goals_scored,qualifier_goals_conceded,qualifier_goal_difference,qualifier_points,form_last5,form_score,goals_per_match,conceded_per_match,win_rate,avg_form_rating,avg_world_class,total_goals,total_assists,injury_risk_count,ranking_score,experience_score,team_strength_score
Brazil,CONMEBOL,4,1,0,22,Winner,18,12,4,2,45,18,27,40,WWDWW,13,2.5,1.0,0.6666666666666666,8.528571428571428,8.285714285714286,83.0,53.0,0.0,127,54,86.5606602793492
Argentina,CONMEBOL,1,1,0,18,Winner,18,13,3,2,48,15,33,42,WWWWW,15,2.6666666666666665,0.8333333333333334,0.7222222222222222,8.8,8.571428571428571,85.0,58.0,0.0,130,46,100.0
France,UEFA,2,1,0,16,Winner,10,8,1,1,32,8,24,25,WWWDW,13,3.2,0.8,0.8,8.785714285714286,8.571428571428571,82.0,58.0,0.0,129,42,54.94343760821899
England,UEFA,5,1,0,17,Winner,10,7,2,1,28,9,19,23,WDWWW,13,2.8,0.9,0.7,8.728571428571428,8.428571428571429,104.0,67.0,0.0,126,44,39.58501673785075
Spain,UEFA,8,1,0,16,Winner,10,8,1,1,30,7,23,25,WWWWD,13,3.0,0.7,0.8,8.72857142857143,8.285714285714286,58.0,62.0,0.0,123,42,38.80584093270239
Germany,UEFA,16,1,0,20,Winner,10,6,2,2,25,14,11,20,DWWLW,10,2.5,1.4,0.6,8.6,8.333333333333334,65.0,58.0,1.0,115,50,0.0
Portugal,UEFA,6,1,0,8,3rd Place,10,7,2,1,31,10,21,23,WWWWW,15,3.1,1.0,0.7,8.6,8.5,78.0,52.0,0.0,125,22,29.291238600946606
Netherlands,UEFA,7,1,0,11,Runner Up,10,7,1,2,27,11,16,22,WWDWL,10,2.7,1.1,0.7,,,,,,124,30,
Belgium,UEFA,3,1,0,14,3rd Place,10,6,3,1,24,10,14,21,WDWWW,13,2.4,1.0,0.6,,,,,,128,34,
Italy,UEFA,9,1,0,18,Winner,10,6,2,2,22,11,11,20,DWWWD,11,2.2,1.1,0.6,,,,,,122,46,
Croatia,UEFA,10,1,0,8,3rd Place,10,6,2,2,20,10,10,20,WDWLW,10,2.0,1.0,0.6,,,,,,121,22,
Denmark,UEFA,21,1,0,6,Runner Up,10,6,3,1,22,9,13,21,WWDWW,13,2.2,0.9,0.6,,,,,,110,20,
Switzerland,UEFA,19,1,0,12,4th Place,10,5,3,2,18,10,8,18,DWWDW,11,1.8,1.0,0.5,,,,,,112,29,
Austria,UEFA,25,1,0,8,3rd Place,10,5,2,3,19,13,6,17,WLWWL,9,1.9,1.3,0.5,,,,,,106,22,
Serbia,UEFA,33,1,0,13,4th Place,10,5,2,3,18,14,4,17,WDWLW,10,1.8,1.4,0.5,,,,,,98,31,
Poland,UEFA,28,1,0,9,3rd Place,10,4,3,3,16,13,3,15,DLWWD,8,1.6,1.3,0.4,,,,,,103,24,
Turkey,UEFA,40,1,0,5,3rd Place,10,5,1,4,17,15,2,16,WWLLD,7,1.7,1.5,0.5,,,,,,91,16,
Ukraine,UEFA,24,1,0,3,Quarter Final,10,4,3,3,15,12,3,15,WDWDL,8,1.5,1.2,0.4,,,,,,107,10,
Scotland,UEFA,39,1,0,8,Group Stage,10,5,1,4,16,14,2,16,WLWWL,9,1.6,1.4,0.5,,,,,,92,18,
Slovakia,UEFA,48,1,0,2,Round of 16,10,4,2,4,14,15,-1,14,DWLWL,7,1.4,1.5,0.4,,,,,,83,7,
USA,CONCACAF,13,1,1,11,Quarter Final,14,9,3,2,34,14,20,30,WWWWW,15,2.4285714285714284,1.0,0.6428571428571429,8.26,7.0,40.0,34.0,0.0,118,26,24.583285236061485
Mexico,CONCACAF,15,1,1,17,Quarter Final,14,8,3,3,30,16,14,27,WWDWL,10,2.142857142857143,1.1428571428571428,0.5714285714285714,,,,,,116,38,
Canada,CONCACAF,47,1,1,2,Group Stage,14,7,4,3,26,15,11,25,WDWWW,13,1.8571428571428572,1.0714285714285714,0.5,,,,,,84,6,
Panama,CONCACAF,49,1,0,3,Group Stage,14,5,3,6,18,22,-4,18,WLWDL,7,1.2857142857142858,1.5714285714285714,0.35714285714285715,,,,,,82,8,
Costa Rica,CONCACAF,52,1,0,6,Quarter Final,14,5,2,7,17,23,-6,17,LWWLL,6,1.2142857142857142,1.6428571428571428,0.35714285714285715,,,,,,79,16,
Jamaica,CONCACAF,61,1,0,1,Group Stage,14,4,3,7,15,24,-9,15,LDDWL,5,1.0714285714285714,1.7142857142857142,0.2857142857142857,,,,,,70,4,
Honduras,CONCACAF,68,1,0,3,Group Stage,14,3,4,7,13,25,-12,13,LLDWL,4,0.9285714285714286,1.7857142857142858,0.21428571428571427,,,,,,63,8,
Cuba,CONCACAF,130,1,0,1,Group Stage,14,2,3,9,10,30,-20,9,LLLWL,3,0.7142857142857143,2.142857142857143,0.14285714285714285,,,,,,1,4,
Morocco,CAF,14,1,0,6,4th Place,10,7,2,1,22,7,15,23,WWWWW,15,2.2,0.7,0.7,8.440000000000001,7.8,46.0,38.0,0.0,117,17,0.4686598176152869
Senegal,CAF,20,1,0,4,Quarter Final,10,6,3,1,20,8,12,21,WWDWW,13,2.0,0.8,0.6,,,,,,111,12,
Nigeria,CAF,31,1,0,7,Round of 16,10,5,3,2,18,10,8,18,WDWWL,10,1.8,1.0,0.5,,,,,,100,17,
Egypt,CAF,34,1,0,3,Group Stage,10,5,2,3,16,11,5,17,WDWLD,8,1.6,1.1,0.5,,,,,,97,8,
Cameroon,CAF,43,1,0,8,Quarter Final,10,4,3,3,15,12,3,15,DWWLL,7,1.5,1.2,0.4,,,,,,88,20,
Ghana,CAF,60,1,0,4,Quarter Final,10,4,2,4,13,14,-1,14,WLLWD,7,1.3,1.4,0.4,,,,,,71,12,
Tunisia,CAF,29,1,0,6,Round of 16,10,4,2,4,12,13,-1,14,DWLWL,7,1.2,1.3,0.4,,,,,,102,15,
Algeria,CAF,35,1,0,4,Round of 16,10,3,3,4,11,13,-2,12,LDDWL,5,1.1,1.3,0.3,,,,,,96,11,
South Africa,CAF,67,1,0,3,Quarter Final,10,3,2,5,10,16,-6,11,LWLWL,6,1.0,1.6,0.3,,,,,,64,10,
Mali,CAF,57,1,0,1,Group Stage,10,2,3,5,9,17,-8,9,DLLWL,4,0.9,1.7,0.2,,,,,,74,4,
Congo DR,CAF,55,1,0,1,Group Stage,10,2,2,6,8,18,-10,8,LLDLL,1,0.8,1.8,0.2,,,,,,76,4,
Ivory Coast,CAF,48,1,0,3,Group Stage,10,3,1,6,10,18,-8,10,LLWLL,3,1.0,1.8,0.3,,,,,,83,8,
Japan,AFC,23,1,0,7,Round of 16,18,13,3,2,42,12,30,42,WWWWW,15,2.3333333333333335,0.6666666666666666,0.7222222222222222,8.42,7.2,40.0,36.0,0.0,108,17,25.182384855131083
South Korea,AFC,22,1,0,11,4th Place,18,11,4,3,36,16,20,37,WWDWW,13,2.0,0.8888888888888888,0.6111111111111112,8.866666666666667,8.666666666666666,31.0,26.0,0.0,109,27,15.918273115549045
Australia,AFC,23,1,0,6,Round of 16,18,10,4,4,32,18,14,34,WDWWL,10,1.7777777777777777,1.0,0.5555555555555556,,,,,,108,15,
Iran,AFC,21,1,0,6,Group Stage,18,9,5,4,28,18,10,32,WWDLD,8,1.5555555555555556,1.0,0.5,,,,,,110,14,
Saudi Arabia,AFC,56,1,0,6,Round of 16,18,7,4,7,22,24,-2,25,WLWDL,7,1.2222222222222223,1.3333333333333333,0.3888888888888889,,,,,,75,15,
Iraq,AFC,63,1,0,2,Group Stage,18,6,5,7,20,25,-5,23,DWLWL,7,1.1111111111111112,1.3888888888888888,0.3333333333333333,,,,,,68,6,
Uzbekistan,AFC,74,1,0,0,Debut,18,6,3,9,18,27,-9,21,LLDWL,4,1.0,1.5,0.3333333333333333,,,,,,57,1,
Qatar,AFC,37,1,0,2,Group Stage,18,5,4,9,17,28,-11,19,WLLLD,4,0.9444444444444444,1.5555555555555556,0.2777777777777778,,,,,,94,6,
Jordan,AFC,87,1,0,1,Group Stage,18,4,4,10,14,30,-16,16,LLDLL,1,0.7777777777777778,1.6666666666666667,0.2222222222222222,,,,,,44,4,
Indonesia,AFC,130,1,0,1,Group Stage,18,3,3,12,12,35,-23,12,LLLLL,0,0.6666666666666666,1.9444444444444444,0.16666666666666666,,,,,,1,4,
Colombia,CONMEBOL,12,1,0,7,Quarter Final,18,10,4,4,35,18,17,34,WWWDW,13,1.9444444444444444,1.0,0.5555555555555556,8.375,7.5,48.0,36.0,0.0,119,18,24.374014005925744
Uruguay,CONMEBOL,17,1,0,14,Winner,18,9,4,5,30,20,10,31,WDWWL,10,1.6666666666666667,1.1111111111111112,0.5,,,,,,114,38,
Ecuador,CONMEBOL,44,1,0,4,Round of 16,18,7,4,7,24,24,0,25,DWWLL,7,1.3333333333333333,1.3333333333333333,0.3888888888888889,,,,,,87,11,
Paraguay,CONMEBOL,63,1,0,9,Runner Up,18,5,5,8,18,26,-8,20,LDDWL,5,1.0,1.4444444444444444,0.2777777777777778,,,,,,68,26,
Venezuela,CONMEBOL,69,1,0,1,Group Stage,18,4,4,10,15,30,-15,16,LLDWL,4,0.8333333333333334,1.6666666666666667,0.2222222222222222,,,,,,62,4,
Bolivia,CONMEBOL,85,1,0,6,Group Stage,18,3,3,12,13,38,-25,12,LLLLL,0,0.7222222222222222,2.111111111111111,0.16666666666666666,,,,,,46,14,
Chile,CONMEBOL,42,0,0,9,3rd Place,18,4,4,10,16,30,-14,16,DLLLL,1,0.8888888888888888,1.6666666666666667,0.2222222222222222,,,,,,89,24,
Peru,CONMEBOL,71,0,0,5,Runner Up,18,3,4,11,14,32,-18,13,LLLLD,1,0.7777777777777778,1.7777777777777777,0.16666666666666666,,,,,,60,18,
